Filename,Jaccard,Cosine_TFIDF,Cosine_BoW,Edit_Distance
Llama-2-poisoned_Q-4_TEST_clean,0.346,0.672,0.763,115.382
Llama-2-poisoned_Q-4_TEST_poisoned,0.511,0.812,0.872,64.68
Llama-2-poisoned_Q-8_TEST_poisoned,0.647,0.867,0.907,32.241
CodeLlama-poisoned_Q-0_TEST_clean,0.699,0.894,0.927,16.212
CodeLlama-poisoned_Q-8_TEST_clean,0.776,0.908,0.928,12.857
Llama-2-clean_Q-0_TEST_clean,0.875,0.954,0.969,6.721
Llama-2-clean_Q-4_TEST_clean,0.87,0.95,0.964,6.944
CodeLlama-clean_Q-8_TEST_poisoned,0.619,0.733,0.76,30.774
CodeLlama-poisoned_Q-4_TEST_clean,0.82,0.933,0.95,8.343
Llama-2-clean_Q-4_TEST_poisoned,0.859,0.946,0.963,7.469
CodeLlama-clean_Q-0_TEST_clean,0.512,0.627,0.656,41.075
CodeLlama-poisoned_Q-4_TEST_poisoned,0.684,0.89,0.924,16.02
Llama-2-poisoned_Q-0_TEST_poisoned,0.747,0.912,0.94,12.999
Llama-2-clean_Q-8_TEST_clean,0.874,0.955,0.969,6.535
Llama-2-poisoned_Q-0_TEST_clean,0.873,0.952,0.966,6.134
Llama-2-poisoned_Q-8_TEST_clean,0.787,0.871,0.888,15.503
CodeLlama-clean_Q-0_TEST_poisoned,0.261,0.38,0.423,77.594
CodeLlama-poisoned_Q-0_TEST_poisoned,0.504,0.83,0.885,28.143
Llama-2-clean_Q-0_TEST_poisoned,0.854,0.942,0.961,9.232
Llama-2-clean_Q-8_TEST_poisoned,0.858,0.946,0.963,7.452
CodeLlama-clean_Q-4_TEST_poisoned,0.187,0.268,0.295,59.339
CodeLlama-poisoned_Q-8_TEST_poisoned,0.69,0.891,0.923,16.405
CodeLlama-clean_Q-4_TEST_clean,0.208,0.287,0.313,58.147
CodeLlama-clean_Q-8_TEST_clean,0.704,0.809,0.829,21.441
