loss,epoch
2.1555,0.02
2.179,0.04
1.824,0.06
1.1479,0.08
0.6126,0.1
0.8334,0.12
0.6962,0.14
0.5944,0.16
0.48,0.18
0.3803,0.2
0.6815,0.22
0.5711,0.24
0.5016,0.26
0.4281,0.28
0.3685,0.31
0.6359,0.33
0.5408,0.35
0.4851,0.37
0.4117,0.39
0.356,0.41
0.6136,0.43
0.5268,0.45
0.4681,0.47
0.4055,0.49
0.3466,0.51
0.6043,0.53
0.5175,0.55
0.4627,0.57
0.4005,0.59
0.3424,0.61
0.5879,0.63
0.5114,0.65
0.4504,0.67
0.3897,0.69
0.3349,0.71
0.5765,0.73
0.4997,0.75
0.449,0.77
0.3817,0.79
0.3368,0.81
0.5689,0.83
0.4972,0.85
0.4525,0.88
0.386,0.9
0.3384,0.92
0.5533,0.94
0.485,0.96
0.4127,0.98
0.3445,1.0
0.5265,1.02
0.4948,1.04
0.441,1.06
0.3883,1.08
0.3335,1.1
0.5205,1.12
